Código INFOBRAS,Código Único de Inversión,Código SNIP,Nombre de la obra,Modalidad de ejecución,Estado de obra,Fecha de Inicio,Monto Expediente Técnico,Distrito,Provincia,Región
559548,2709670,2709670,"RENOVACION DE RESERVORIO; EN EL(LA) DEL SISTEMA DE AGUA POTABLE EN EL CASERIO DE MITO DISTRITO DE CHACAYAN, PROVINCIA DANIEL ALCIDES CARRION, DEPARTAMENTO PASCO",Contrata,Sin Ejecución,"",117337.06,CHACAYAN,DANIEL ALCIDES CARRION,PASCO
559394,2690866,2690866,CREACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA LOCALIDAD DE UYLUPAMPA DISTRITO DE TAPUC DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",398085.45,TAPUC,DANIEL ALCIDES CARRION,PASCO
559084,2725357,2725357,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL BARRIO EL MIRADOR, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",301189.72,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559083,2725348,2725348,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL SECTOR GAVILAN, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",266301.44,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559082,2672321,2672321,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOCALIDAD DE PUERTO LAGARTO DEL DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO,Contrata,Sin Ejecución,"",275240.83,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559081,2726084,2726084,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DEL BARRIO SAN JERONIMO, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",279417.98,PUERTO BERMUDEZ,OXAPAMPA,PASCO
559074,2726079,2726079,"CONSTRUCCION DE LOSA DEPORTIVA; EN EL(LA) IE 34277 - SAN PABLO, DISTRITO DE PUERTO BERMUDEZ, PROVINCIA OXAPAMPA, DEPARTAMENTO PASCO",Administración directa,Sin Ejecución,"","",PUERTO BERMUDEZ,OXAPAMPA,PASCO
558937,2729119,2729119,"CREACION DEL SERVICIO DE MOVILIDAD URBANA EN LA AV. VISTA ALEGRE, PJE. VISTA ALEGRE, PJE. ESTACIÓN CENTRAL Y CALLE JESÚS AYALA IDELFONSO DISTRITO DE GOYLLARISQUIZGA DE LA PROVINCIA DE DANIEL ALCIDES CARRION DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",718252.15,GOYLLARISQUIZGA,DANIEL ALCIDES CARRION,PASCO
558848,2569999,2569999,"CREACION DEL CERCO PERIMETRICO DEL CEMENTERIO GENERAL EN EL CENTRO POBLADO DE HUAYO, DEL DISTRITO DE SANTA ANA DE TUSI - PROVINCIA DE DANIEL ALCIDES CARRION - DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",884296.61,SANTA ANA DE TUSI,DANIEL ALCIDES CARRION,PASCO
558282,2726087,2726087,"CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN LA LOSA DEPORTIVA DE LA CC.NN. TRES HERMANOS, DISTRITO DE PUERTO BERMUDEZ DE LA PROVINCIA DE OXAPAMPA DEL DEPARTAMENTO DE PASCO",Contrata,Sin Ejecución,"",263773.75,PUERTO BERMUDEZ,OXAPAMPA,PASCO
